iter	Passed	Remaining
0	0	124
1	1	110
2	1	93
3	1	94
4	2	100
5	3	98
6	3	95
7	3	94
8	4	92
9	4	94
10	5	90
11	5	90
12	5	84
13	6	81
14	6	79
15	6	79
16	7	79
17	8	82
18	8	82
19	9	84
20	10	86
21	10	87
22	11	88
23	12	92
24	13	94
25	14	97
26	14	95
27	15	93
28	16	96
29	16	95
30	17	96
31	18	94
32	18	92
33	18	90
34	19	90
35	19	88
36	20	88
37	20	86
38	21	88
39	22	90
40	23	92
41	24	92
42	25	92
43	26	94
44	27	96
45	28	96
46	29	97
47	30	97
48	32	100
49	34	102
50	35	104
51	37	106
52	38	106
53	39	107
54	40	107
55	42	108
56	43	109
57	44	109
58	45	109
59	46	109
60	47	109
61	49	109
62	50	109
63	51	108
64	52	108
65	52	106
66	53	106
67	53	104
68	54	103
69	55	102
70	56	102
71	56	101
72	58	101
73	58	99
74	59	98
75	60	98
76	61	97
77	61	95
78	61	94
79	62	93
80	63	92
81	64	92
82	64	91
83	65	90
84	65	88
85	66	88
86	67	88
87	68	87
88	68	85
89	68	84
90	69	83
91	70	82
92	70	81
93	71	80
94	72	80
95	72	78
96	73	77
97	73	76
98	74	75
99	74	74
100	75	73
101	75	72
102	77	72
103	77	71
104	78	71
105	78	69
106	80	69
107	81	69
108	82	68
109	83	68
110	84	68
111	85	67
112	86	66
113	86	65
114	87	64
115	87	63
116	87	62
117	88	61
118	89	60
119	89	59
120	89	58
121	90	58
122	91	57
123	91	56
124	93	55
125	93	54
126	94	54
127	94	53
128	95	52
129	96	52
130	97	51
131	98	50
132	98	49
133	99	48
134	100	48
135	100	47
136	101	46
137	102	45
138	103	45
139	104	44
140	104	43
141	105	42
142	105	42
143	105	41
144	106	40
145	107	39
146	107	38
147	108	37
148	108	37
149	109	36
150	110	35
151	112	35
152	113	34
153	114	34
154	115	33
155	115	32
156	115	31
157	116	30
158	116	30
159	118	29
160	118	28
161	118	27
162	119	27
163	120	26
164	121	25
165	121	24
166	123	24
167	123	23
168	124	22
169	125	22
170	126	21
171	127	20
172	128	20
173	128	19
174	129	18
175	129	17
176	131	17
177	131	16
178	132	15
179	133	14
180	134	14
181	134	13
182	134	12
183	135	11
184	135	10
185	135	10
186	136	9
187	136	8
188	136	7
189	137	7
190	137	6
191	137	5
192	138	5
193	138	4
194	139	3
195	139	2
196	140	2
197	140	1
198	141	0
199	141	0
