iter	RMSE
0	0.8061622575
1	0.6609712209
2	0.54134674
3	0.4517855277
4	0.377686873
5	0.3182260035
6	0.2715819737
7	0.2359412807
8	0.2075281004
9	0.1879028404
10	0.1719858747
11	0.1604805817
12	0.1515836206
13	0.1446312147
14	0.1392686325
15	0.1358082594
16	0.1327655004
17	0.1294912622
18	0.1274959849
19	0.1258692888
20	0.1246823915
21	0.1232920746
22	0.1223518133
23	0.1211494714
24	0.1203261586
25	0.1195453717
26	0.1187489114
27	0.1181621034
28	0.1176084908
29	0.1171839063
30	0.116738742
31	0.1160747886
32	0.1156223333
33	0.1151616588
34	0.1149615328
35	0.1139191397
36	0.1135372199
37	0.1128583818
38	0.112474519
39	0.1120618693
40	0.1118289365
41	0.1116280876
42	0.1108693147
43	0.1106751205
44	0.1101383756
45	0.109719647
46	0.1092991404
47	0.1090448117
48	0.1087705176
49	0.1081290957
50	0.1079726417
51	0.1078151517
52	0.1076909865
53	0.1071024063
54	0.1070178248
55	0.1066010941
56	0.1063984967
57	0.1062610629
58	0.1055991834
59	0.104987401
60	0.1044138859
61	0.1042359849
62	0.1041252425
63	0.1036257078
64	0.1030397637
65	0.1028621754
66	0.102650338
67	0.1023432147
68	0.1022465524
69	0.1020686137
70	0.1016390104
71	0.1015809541
72	0.1014538788
73	0.1011879502
74	0.100713048
75	0.1001601029
76	0.1000493669
